City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Boulsa,BF,2022-02-06 20:31:46,12.6675,-0.5758,76.41,12,0,9.46
261,San Juan De Los Morros,VE,2022-02-06 20:31:46,9.9115,-67.3538,86.07,42,97,0.67
262,Coahuayana,MX,2022-02-06 20:31:47,18.7333,-103.6833,89.08,35,16,7.65
263,Hare Bay,CA,2022-02-06 20:31:47,48.8499,-54.0148,9.75,73,39,10.49
264,Cabo San Lucas,MX,2022-02-06 20:30:38,22.8909,-109.9124,74.61,61,0,5.01
265,Hopkinsville,US,2022-02-06 20:30:20,36.8656,-87.4886,48.06,65,0,1.01
266,Northam,GB,2022-02-06 20:29:52,51.0333,-4.2167,48.02,77,21,26.28
267,Mayo,US,2022-02-06 20:31:49,38.8876,-76.5119,40.19,34,0,1.01
268,Mehamn,NO,2022-02-06 20:31:49,71.0357,27.8492,26.78,88,29,14.81
269,Lahaina,US,2022-02-06 20:27:45,20.8783,-156.6825,79.84,80,5,9.86
270,Sao Jose Da Coroa Grande,BR,2022-02-06 20:31:50,-8.8978,-35.1478,80.35,72,66,13.56
271,Boa Vista,BR,2022-02-06 20:32:50,2.8197,-60.6733,91.38,43,40,5.75
272,Sri Aman,MY,2022-02-06 20:32:51,1.2376,111.4621,75.25,94,100,1.14
273,Yenangyaung,MM,2022-02-06 20:32:51,20.4667,94.8833,61.83,45,9,5.37
274,Sidney,AU,2022-02-06 20:28:06,-33.8679,151.2073,67.26,85,40,13.0
275,Pokosnoye,RU,2022-02-06 20:32:52,55.5258,101.0536,9.88,98,100,2.59
276,Phan Thiet,VN,2022-02-06 20:32:53,10.9333,108.1,73.08,78,94,5.01
277,Raudeberg,NO,2022-02-06 20:32:53,61.9875,5.1352,38.19,86,80,4.0
278,Zabol,AF,2022-02-06 20:32:54,32.25,67.25,34.63,51,0,10.65
279,Emba,KZ,2022-02-06 20:32:54,48.8264,58.1442,16.5,96,100,9.51
280,Kattivakkam,IN,2022-02-06 20:32:55,13.2167,80.3167,80.08,77,98,7.92
281,Southbridge,US,2022-02-06 20:30:42,42.0751,-72.0334,29.08,52,100,10.0
282,Santa Maria Del Oro,MX,2022-02-06 20:32:56,25.9333,-105.3667,69.67,10,24,25.79
283,Pinotepa Nacional,MX,2022-02-06 20:32:56,16.3167,-98.0167,89.06,38,2,10.69
284,Bethel,US,2022-02-06 20:32:57,41.3712,-73.414,30.29,56,0,1.01
285,Dohar,BD,2022-02-06 20:32:57,23.5883,90.1469,64.38,66,33,4.88
286,Hokitika,NZ,2022-02-06 20:32:57,-42.7167,170.9667,60.31,56,100,6.4
287,Monrovia,LR,2022-02-06 20:32:58,6.3005,-10.7969,78.57,82,5,9.01
288,Geraldton,AU,2022-02-06 20:32:58,-28.7667,114.6,68.41,49,40,13.8
289,Hobyo,SO,2022-02-06 20:32:59,5.3505,48.5268,76.39,70,58,17.07
290,Kieta,PG,2022-02-06 20:32:59,-6.2167,155.6333,81.16,80,100,7.23
291,Skjervoy,NO,2022-02-06 20:32:59,70.0311,20.9714,32.18,67,76,16.13
292,Kazachinskoye,RU,2022-02-06 20:33:00,57.6953,93.2761,7.2,97,100,3.04
293,Shanghai,CN,2022-02-06 20:28:53,31.2222,121.4581,42.67,56,0,1.99
